OID,DID,day_type,day_part,odvolume,odtime,mode,date_range
101,336,1,0,21,3503.0,TRU,2019_YR
101,337,1,0,1,,TRU,2019_YR
101,338,1,0,4,,TRU,2019_YR
101,341,1,0,390,3472.0,TRU,2019_YR
101,351,1,0,227,3981.0,TRU,2019_YR
101,352,1,0,16,3770.0,TRU,2019_YR
101,361,1,0,1,,TRU,2019_YR
101,381,1,0,1,,TRU,2019_YR
101,391,1,0,3,,TRU,2019_YR
101,401,1,0,100,5175.0,TRU,2019_YR
101,41,1,0,1894,1382.0,TRU,2019_YR
101,411,1,0,62,4472.0,TRU,2019_YR
101,412,1,0,331,4305.0,TRU,2019_YR
101,421,1,0,29,4285.0,TRU,2019_YR
101,422,1,0,65,3858.0,TRU,2019_YR
101,423,1,0,90,4827.0,TRU,2019_YR
101,431,1,0,128,5084.0,TRU,2019_YR
101,432,1,0,195,5276.0,TRU,2019_YR
101,433,1,0,122,4271.0,TRU,2019_YR
101,434,1,0,21,4529.0,TRU,2019_YR
101,441,1,0,242,4396.0,TRU,2019_YR
101,442,1,0,11,,TRU,2019_YR
101,451,1,0,223,4543.0,TRU,2019_YR
101,452,1,0,106,4743.0,TRU,2019_YR
101,461,1,0,50,4277.0,TRU,2019_YR
101,481,1,0,2,,TRU,2019_YR
101,491,1,0,1,,TRU,2019_YR
101,501,1,0,1,,TRU,2019_YR
101,51,1,0,55,2067.0,TRU,2019_YR
101,511,1,0,2,,TRU,2019_YR
101,512,1,0,2,,TRU,2019_YR
101,522,1,0,3,,TRU,2019_YR
101,523,1,0,1,,TRU,2019_YR
101,531,1,0,25,5088.0,TRU,2019_YR
101,532,1,0,6,,TRU,2019_YR
101,541,1,0,16,,TRU,2019_YR
101,542,1,0,87,5064.0,TRU,2019_YR
101,551,1,0,11,,TRU,2019_YR
101,561,1,0,299,5491.0,TRU,2019_YR
101,562,1,0,94,5590.0,TRU,2019_YR
101,571,1,0,110,5947.0,TRU,2019_YR
101,572,1,0,56,5580.0,TRU,2019_YR
101,581,1,0,82,6299.0,TRU,2019_YR
101,583,1,0,284,5668.0,TRU,2019_YR
101,584,1,0,74,5696.0,TRU,2019_YR
101,585,1,0,22,,TRU,2019_YR
101,591,1,0,273,6593.0,TRU,2019_YR
101,593,1,0,5,,TRU,2019_YR
101,594,1,0,3,,TRU,2019_YR
101,601,1,0,1345,6658.0,TRU,2019_YR
101,602,1,0,376,6354.0,TRU,2019_YR
101,603,1,0,192,6911.0,TRU,2019_YR
101,61,1,0,12,,TRU,2019_YR
101,611,1,0,33,,TRU,2019_YR
101,612,1,0,18,,TRU,2019_YR
101,62,1,0,113,1308.0,TRU,2019_YR
101,621,1,0,92,7454.0,TRU,2019_YR
101,681,1,0,1,,TRU,2019_YR
101,81,1,0,308,2094.0,TRU,2019_YR
101,91,1,0,10855,1151.0,TRU,2019_YR
102,101,1,0,2546,730.0,TRU,2019_YR
102,102,1,0,2577,576.0,TRU,2019_YR
102,11,1,0,13,,TRU,2019_YR
102,111,1,0,1126,1411.0,TRU,2019_YR
102,112,1,0,109,1888.0,TRU,2019_YR
102,121,1,0,1342,962.0,TRU,2019_YR
102,122,1,0,458,812.0,TRU,2019_YR
102,131,1,0,181,1435.0,TRU,2019_YR
102,132,1,0,451,1131.0,TRU,2019_YR
102,133,1,0,21,1226.0,TRU,2019_YR
102,141,1,0,68,1252.0,TRU,2019_YR
102,161,1,0,2,,TRU,2019_YR
102,181,1,0,353,2013.0,TRU,2019_YR
102,182,1,0,114,2159.0,TRU,2019_YR
102,191,1,0,56,2026.0,TRU,2019_YR
102,192,1,0,16,2261.0,TRU,2019_YR
102,201,1,0,89,2217.0,TRU,2019_YR
102,202,1,0,489,2106.0,TRU,2019_YR
102,21,1,0,2,,TRU,2019_YR
102,211,1,0,153,2088.0,TRU,2019_YR
102,212,1,0,68,2257.0,TRU,2019_YR
102,221,1,0,44,2539.0,TRU,2019_YR
102,222,1,0,28,2750.0,TRU,2019_YR
102,231,1,0,87,3067.0,TRU,2019_YR
102,232,1,0,439,3220.0,TRU,2019_YR
102,241,1,0,1,,TRU,2019_YR
102,261,1,0,9,,TRU,2019_YR
102,271,1,0,4,,TRU,2019_YR
102,281,1,0,22,3960.0,TRU,2019_YR
102,291,1,0,14,,TRU,2019_YR
102,292,1,0,83,3478.0,TRU,2019_YR
102,301,1,0,159,3949.0,TRU,2019_YR
102,302,1,0,80,3606.0,TRU,2019_YR
102,31,1,0,137,1771.0,TRU,2019_YR
102,311,1,0,48,4129.0,TRU,2019_YR
102,312,1,0,30,3830.0,TRU,2019_YR
102,313,1,0,148,3616.0,TRU,2019_YR
102,32,1,0,142,1927.0,TRU,2019_YR
102,321,1,0,44,3458.0,TRU,2019_YR
102,331,1,0,26,3551.0,TRU,2019_YR
102,332,1,0,6,,TRU,2019_YR
102,333,1,0,6,,TRU,2019_YR
102,334,1,0,18,3233.0,TRU,2019_YR
102,335,1,0,1,,TRU,2019_YR
102,336,1,0,5,,TRU,2019_YR
102,338,1,0,7,,TRU,2019_YR
102,339,1,0,2,,TRU,2019_YR
102,341,1,0,174,3463.0,TRU,2019_YR
102,351,1,0,20,3711.0,TRU,2019_YR
102,352,1,0,10,,TRU,2019_YR
102,381,1,0,1,,TRU,2019_YR
102,391,1,0,1,,TRU,2019_YR
102,401,1,0,10,,TRU,2019_YR
102,41,1,0,117,1389.0,TRU,2019_YR
102,411,1,0,22,4518.0,TRU,2019_YR
102,412,1,0,57,4087.0,TRU,2019_YR
102,421,1,0,2,,TRU,2019_YR
102,422,1,0,19,4366.0,TRU,2019_YR
102,423,1,0,21,,TRU,2019_YR
102,424,1,0,1,,TRU,2019_YR
102,431,1,0,10,,TRU,2019_YR
102,432,1,0,3,,TRU,2019_YR
102,433,1,0,16,4307.0,TRU,2019_YR
102,434,1,0,4,,TRU,2019_YR
102,441,1,0,36,4251.0,TRU,2019_YR
102,442,1,0,22,3682.0,TRU,2019_YR
102,451,1,0,14,,TRU,2019_YR
102,452,1,0,2,,TRU,2019_YR
102,461,1,0,9,,TRU,2019_YR
102,481,1,0,1,,TRU,2019_YR
102,51,1,0,8,,TRU,2019_YR
102,522,1,0,1,,TRU,2019_YR
102,523,1,0,2,,TRU,2019_YR
102,531,1,0,5,,TRU,2019_YR
102,532,1,0,1,,TRU,2019_YR
102,541,1,0,9,,TRU,2019_YR
102,542,1,0,3,,TRU,2019_YR
102,551,1,0,2,,TRU,2019_YR
102,561,1,0,4,,TRU,2019_YR
102,562,1,0,2,,TRU,2019_YR
102,571,1,0,6,,TRU,2019_YR
102,572,1,0,4,,TRU,2019_YR
102,581,1,0,5,,TRU,2019_YR
102,583,1,0,30,5563.0,TRU,2019_YR
102,584,1,0,7,,TRU,2019_YR
102,591,1,0,1,,TRU,2019_YR
102,592,1,0,1,,TRU,2019_YR
102,601,1,0,15,,TRU,2019_YR
102,602,1,0,15,,TRU,2019_YR
102,603,1,0,8,,TRU,2019_YR
102,61,1,0,1,,TRU,2019_YR
102,612,1,0,1,,TRU,2019_YR
102,62,1,0,5,,TRU,2019_YR
102,621,1,0,4,,TRU,2019_YR
102,81,1,0,27,2648.0,TRU,2019_YR
102,91,1,0,983,1396.0,TRU,2019_YR
11,101,1,0,145,1877.0,TRU,2019_YR
11,102,1,0,15,,TRU,2019_YR
11,11,1,0,159,599.0,TRU,2019_YR
11,111,1,0,186,2144.0,TRU,2019_YR
11,112,1,0,10,,TRU,2019_YR
11,121,1,0,340,2329.0,TRU,2019_YR
11,122,1,0,5,,TRU,2019_YR
11,131,1,0,64,2310.0,TRU,2019_YR
11,132,1,0,5,,TRU,2019_YR
11,181,1,0,168,2800.0,TRU,2019_YR
11,182,1,0,11,,TRU,2019_YR
11,191,1,0,30,,TRU,2019_YR
11,192,1,0,8,,TRU,2019_YR
11,201,1,0,2,,TRU,2019_YR
11,202,1,0,319,2837.0,TRU,2019_YR
11,21,1,0,179,710.0,TRU,2019_YR
11,211,1,0,12,,TRU,2019_YR
11,212,1,0,1,,TRU,2019_YR
11,221,1,0,24,,TRU,2019_YR
11,222,1,0,28,,TRU,2019_YR
11,231,1,0,25,3406.0,TRU,2019_YR
11,232,1,0,386,4060.0,TRU,2019_YR
11,241,1,0,8,,TRU,2019_YR
11,261,1,0,94,5322.0,TRU,2019_YR
11,271,1,0,12,,TRU,2019_YR
11,281,1,0,44,4718.0,TRU,2019_YR
11,291,1,0,52,3786.0,TRU,2019_YR
11,292,1,0,67,4027.0,TRU,2019_YR
11,301,1,0,856,5086.0,TRU,2019_YR
11,302,1,0,195,4341.0,TRU,2019_YR
11,31,1,0,1018,900.0,TRU,2019_YR
11,311,1,0,163,5285.0,TRU,2019_YR
11,312,1,0,83,4478.0,TRU,2019_YR
11,313,1,0,106,4467.0,TRU,2019_YR
11,32,1,0,228,726.0,TRU,2019_YR
11,321,1,0,6,,TRU,2019_YR
11,331,1,0,38,4209.0,TRU,2019_YR
11,334,1,0,14,,TRU,2019_YR
11,336,1,0,4,,TRU,2019_YR
11,341,1,0,23,,TRU,2019_YR
11,351,1,0,1,,TRU,2019_YR
11,352,1,0,2,,TRU,2019_YR
11,391,1,0,9,,TRU,2019_YR
11,401,1,0,312,6384.0,TRU,2019_YR
11,41,1,0,267,1163.0,TRU,2019_YR
11,411,1,0,10,,TRU,2019_YR
11,412,1,0,40,5045.0,TRU,2019_YR
11,422,1,0,7,,TRU,2019_YR
11,423,1,0,11,,TRU,2019_YR
11,431,1,0,2,,TRU,2019_YR
11,433,1,0,8,,TRU,2019_YR
11,434,1,0,5,,TRU,2019_YR
11,441,1,0,8,,TRU,2019_YR
11,451,1,0,4,,TRU,2019_YR
11,461,1,0,4,,TRU,2019_YR
11,51,1,0,10,,TRU,2019_YR
11,512,1,0,1,,TRU,2019_YR
11,531,1,0,1,,TRU,2019_YR
11,532,1,0,2,,TRU,2019_YR
11,542,1,0,13,,TRU,2019_YR
11,561,1,0,2,,TRU,2019_YR
11,562,1,0,13,,TRU,2019_YR
11,571,1,0,1,,TRU,2019_YR
11,572,1,0,16,,TRU,2019_YR
11,581,1,0,6,,TRU,2019_YR
11,583,1,0,13,,TRU,2019_YR
11,584,1,0,13,,TRU,2019_YR
11,585,1,0,2,,TRU,2019_YR
11,591,1,0,4,,TRU,2019_YR
11,592,1,0,1,,TRU,2019_YR
11,601,1,0,205,6916.0,TRU,2019_YR
11,602,1,0,109,6863.0,TRU,2019_YR
11,603,1,0,35,,TRU,2019_YR
11,611,1,0,4,,TRU,2019_YR
11,612,1,0,11,,TRU,2019_YR
11,621,1,0,24,,TRU,2019_YR
11,641,1,0,1,,TRU,2019_YR
11,81,1,0,28,,TRU,2019_YR
11,91,1,0,262,1684.0,TRU,2019_YR
111,101,1,0,3589,1258.0,TRU,2019_YR
111,102,1,0,1051,1509.0,TRU,2019_YR
111,11,1,0,67,2067.0,TRU,2019_YR
111,111,1,0,15259,610.0,TRU,2019_YR
111,112,1,0,1777,809.0,TRU,2019_YR
111,121,1,0,7106,924.0,TRU,2019_YR
111,122,1,0,979,1114.0,TRU,2019_YR
111,131,1,0,2159,965.0,TRU,2019_YR
111,132,1,0,815,1262.0,TRU,2019_YR
111,133,1,0,173,1394.0,TRU,2019_YR
111,141,1,0,4,,TRU,2019_YR
111,161,1,0,6,,TRU,2019_YR
111,181,1,0,2298,1123.0,TRU,2019_YR
111,182,1,0,840,1120.0,TRU,2019_YR
111,191,1,0,712,1437.0,TRU,2019_YR
111,192,1,0,968,1799.0,TRU,2019_YR
111,201,1,0,329,1520.0,TRU,2019_YR
111,202,1,0,2107,1532.0,TRU,2019_YR
111,21,1,0,59,2011.0,TRU,2019_YR
111,211,1,0,988,1430.0,TRU,2019_YR
111,212,1,0,580,1752.0,TRU,2019_YR
111,221,1,0,392,1921.0,TRU,2019_YR
111,222,1,0,306,2118.0,TRU,2019_YR
111,231,1,0,319,2422.0,TRU,2019_YR
111,232,1,0,1404,2609.0,TRU,2019_YR
111,241,1,0,5,,TRU,2019_YR
111,261,1,0,167,3846.0,TRU,2019_YR
111,271,1,0,50,3667.0,TRU,2019_YR
111,281,1,0,133,3729.0,TRU,2019_YR
111,291,1,0,210,2750.0,TRU,2019_YR
111,292,1,0,360,2765.0,TRU,2019_YR
111,301,1,0,1676,3220.0,TRU,2019_YR
111,302,1,0,709,3242.0,TRU,2019_YR
111,31,1,0,1045,2136.0,TRU,2019_YR
111,311,1,0,662,3792.0,TRU,2019_YR
111,312,1,0,317,3390.0,TRU,2019_YR
111,313,1,0,785,2942.0,TRU,2019_YR
111,314,1,0,1,,TRU,2019_YR
111,32,1,0,411,2190.0,TRU,2019_YR
111,321,1,0,123,2920.0,TRU,2019_YR
111,331,1,0,378,2858.0,TRU,2019_YR
111,332,1,0,24,3212.0,TRU,2019_YR
111,333,1,0,46,2904.0,TRU,2019_YR
111,334,1,0,216,2645.0,TRU,2019_YR
111,335,1,0,150,3432.0,TRU,2019_YR
111,336,1,0,103,2917.0,TRU,2019_YR
111,337,1,0,14,3005.0,TRU,2019_YR
111,338,1,0,70,4093.0,TRU,2019_YR
111,339,1,0,3,,TRU,2019_YR
111,341,1,0,565,2941.0,TRU,2019_YR
111,351,1,0,45,3050.0,TRU,2019_YR
111,352,1,0,35,3465.0,TRU,2019_YR
111,361,1,0,5,,TRU,2019_YR
111,381,1,0,13,,TRU,2019_YR
111,391,1,0,25,4893.0,TRU,2019_YR
111,401,1,0,105,4608.0,TRU,2019_YR
111,41,1,0,513,1690.0,TRU,2019_YR
111,411,1,0,189,3895.0,TRU,2019_YR
111,412,1,0,159,3429.0,TRU,2019_YR
111,421,1,0,24,3842.0,TRU,2019_YR
111,422,1,0,58,3667.0,TRU,2019_YR
111,423,1,0,190,3823.0,TRU,2019_YR
111,431,1,0,153,4350.0,TRU,2019_YR
111,432,1,0,20,4387.0,TRU,2019_YR
111,433,1,0,46,3986.0,TRU,2019_YR
111,434,1,0,29,4481.0,TRU,2019_YR
111,441,1,0,72,3705.0,TRU,2019_YR
111,442,1,0,34,3502.0,TRU,2019_YR
111,451,1,0,75,3689.0,TRU,2019_YR
111,452,1,0,48,3937.0,TRU,2019_YR
111,461,1,0,150,4105.0,TRU,2019_YR
111,471,1,0,1,,TRU,2019_YR
111,481,1,0,5,,TRU,2019_YR
111,491,1,0,4,,TRU,2019_YR
111,51,1,0,77,2651.0,TRU,2019_YR
111,512,1,0,6,,TRU,2019_YR
111,522,1,0,7,,TRU,2019_YR
111,531,1,0,37,4796.0,TRU,2019_YR
111,532,1,0,21,5393.0,TRU,2019_YR
111,541,1,0,38,4542.0,TRU,2019_YR
111,542,1,0,36,4209.0,TRU,2019_YR
111,551,1,0,33,4720.0,TRU,2019_YR
111,561,1,0,38,4361.0,TRU,2019_YR
111,562,1,0,35,4417.0,TRU,2019_YR
111,571,1,0,78,4754.0,TRU,2019_YR
111,572,1,0,21,4940.0,TRU,2019_YR
111,581,1,0,32,6077.0,TRU,2019_YR
111,583,1,0,53,5016.0,TRU,2019_YR
111,584,1,0,164,5416.0,TRU,2019_YR
111,585,1,0,1,,TRU,2019_YR
111,591,1,0,34,5208.0,TRU,2019_YR
111,592,1,0,5,,TRU,2019_YR
111,593,1,0,23,4675.0,TRU,2019_YR
111,594,1,0,1,,TRU,2019_YR
111,601,1,0,187,5976.0,TRU,2019_YR
111,602,1,0,133,5829.0,TRU,2019_YR
111,603,1,0,41,5512.0,TRU,2019_YR
111,61,1,0,8,,TRU,2019_YR
111,611,1,0,7,,TRU,2019_YR
111,612,1,0,14,,TRU,2019_YR
111,62,1,0,150,1837.0,TRU,2019_YR
111,621,1,0,45,6201.0,TRU,2019_YR
111,631,1,0,1,,TRU,2019_YR
111,651,1,0,4,,TRU,2019_YR
111,663,1,0,1,,TRU,2019_YR
111,81,1,0,495,1880.0,TRU,2019_YR
111,91,1,0,3401,1167.0,TRU,2019_YR
112,101,1,0,188,1715.0,TRU,2019_YR
112,102,1,0,134,1837.0,TRU,2019_YR
112,11,1,0,2,,TRU,2019_YR
112,111,1,0,1735,833.0,TRU,2019_YR
112,112,1,0,1446,560.0,TRU,2019_YR
112,121,1,0,639,1225.0,TRU,2019_YR
112,122,1,0,54,1486.0,TRU,2019_YR
112,131,1,0,163,1353.0,TRU,2019_YR
112,132,1,0,55,1652.0,TRU,2019_YR
112,133,1,0,30,1686.0,TRU,2019_YR
112,141,1,0,2,,TRU,2019_YR
112,161,1,0,5,,TRU,2019_YR
112,181,1,0,389,1100.0,TRU,2019_YR
112,182,1,0,368,859.0,TRU,2019_YR
112,191,1,0,161,1509.0,TRU,2019_YR
112,192,1,0,112,1892.0,TRU,2019_YR
112,201,1,0,83,1387.0,TRU,2019_YR
112,202,1,0,429,1796.0,TRU,2019_YR
112,21,1,0,4,,TRU,2019_YR
112,211,1,0,159,1745.0,TRU,2019_YR
112,212,1,0,89,1950.0,TRU,2019_YR
112,221,1,0,84,2356.0,TRU,2019_YR
112,222,1,0,229,2450.0,TRU,2019_YR
112,231,1,0,55,2481.0,TRU,2019_YR
112,232,1,0,442,2777.0,TRU,2019_YR
112,241,1,0,1,,TRU,2019_YR
112,261,1,0,11,,TRU,2019_YR
112,271,1,0,8,,TRU,2019_YR
112,281,1,0,21,3824.0,TRU,2019_YR
112,291,1,0,9,,TRU,2019_YR
112,292,1,0,34,3325.0,TRU,2019_YR
112,301,1,0,256,3308.0,TRU,2019_YR
112,302,1,0,72,3604.0,TRU,2019_YR
112,31,1,0,90,1984.0,TRU,2019_YR
112,311,1,0,46,3829.0,TRU,2019_YR
112,312,1,0,24,3115.0,TRU,2019_YR
112,313,1,0,261,3403.0,TRU,2019_YR
112,32,1,0,42,2388.0,TRU,2019_YR
112,321,1,0,67,3337.0,TRU,2019_YR
112,331,1,0,33,3373.0,TRU,2019_YR
112,332,1,0,10,,TRU,2019_YR
112,333,1,0,7,,TRU,2019_YR
112,334,1,0,155,2661.0,TRU,2019_YR
112,335,1,0,4,,TRU,2019_YR
112,336,1,0,7,,TRU,2019_YR
112,338,1,0,2,,TRU,2019_YR
112,341,1,0,167,3088.0,TRU,2019_YR
112,351,1,0,20,3747.0,TRU,2019_YR
112,352,1,0,8,,TRU,2019_YR
112,361,1,0,2,,TRU,2019_YR
112,391,1,0,2,,TRU,2019_YR
112,401,1,0,15,,TRU,2019_YR
112,41,1,0,62,2017.0,TRU,2019_YR
112,411,1,0,41,3924.0,TRU,2019_YR
112,412,1,0,19,3747.0,TRU,2019_YR
112,421,1,0,3,,TRU,2019_YR
112,422,1,0,11,,TRU,2019_YR
112,423,1,0,126,3853.0,TRU,2019_YR
112,432,1,0,3,,TRU,2019_YR
112,433,1,0,4,,TRU,2019_YR
112,434,1,0,4,,TRU,2019_YR
112,441,1,0,42,3341.0,TRU,2019_YR
112,442,1,0,4,,TRU,2019_YR
112,451,1,0,13,3758.0,TRU,2019_YR
112,452,1,0,7,,TRU,2019_YR
112,461,1,0,8,,TRU,2019_YR
112,491,1,0,1,,TRU,2019_YR
112,51,1,0,10,,TRU,2019_YR
112,522,1,0,3,,TRU,2019_YR
112,531,1,0,8,,TRU,2019_YR
112,532,1,0,1,,TRU,2019_YR
112,541,1,0,1,,TRU,2019_YR
112,542,1,0,7,,TRU,2019_YR
112,551,1,0,3,,TRU,2019_YR
112,561,1,0,8,,TRU,2019_YR
112,562,1,0,7,,TRU,2019_YR
112,571,1,0,3,,TRU,2019_YR
112,572,1,0,10,,TRU,2019_YR
112,581,1,0,1,,TRU,2019_YR
112,583,1,0,10,,TRU,2019_YR
112,584,1,0,18,4667.0,TRU,2019_YR
112,585,1,0,1,,TRU,2019_YR
112,591,1,0,3,,TRU,2019_YR
112,601,1,0,4,,TRU,2019_YR
112,602,1,0,11,,TRU,2019_YR
112,603,1,0,4,,TRU,2019_YR
112,612,1,0,6,,TRU,2019_YR
112,62,1,0,10,,TRU,2019_YR
112,621,1,0,5,,TRU,2019_YR
112,81,1,0,49,1930.0,TRU,2019_YR
112,91,1,0,425,1378.0,TRU,2019_YR
121,101,1,0,9780,1115.0,TRU,2019_YR
121,102,1,0,1294,970.0,TRU,2019_YR
121,11,1,0,228,2115.0,TRU,2019_YR
121,111,1,0,6986,913.0,TRU,2019_YR
121,112,1,0,581,1271.0,TRU,2019_YR
121,121,1,0,13796,738.0,TRU,2019_YR
121,122,1,0,1437,703.0,TRU,2019_YR
121,131,1,0,2736,870.0,TRU,2019_YR
121,132,1,0,767,881.0,TRU,2019_YR
121,133,1,0,231,995.0,TRU,2019_YR
121,141,1,0,2,,TRU,2019_YR
121,161,1,0,6,,TRU,2019_YR
121,181,1,0,3191,1785.0,TRU,2019_YR
121,182,1,0,706,1678.0,TRU,2019_YR
121,191,1,0,386,1498.0,TRU,2019_YR
121,192,1,0,146,1625.0,TRU,2019_YR
121,201,1,0,219,1755.0,TRU,2019_YR
121,202,1,0,2697,1875.0,TRU,2019_YR
121,21,1,0,68,1902.0,TRU,2019_YR
121,211,1,0,600,1552.0,TRU,2019_YR
121,212,1,0,284,1847.0,TRU,2019_YR
121,221,1,0,325,2124.0,TRU,2019_YR
121,222,1,0,377,2292.0,TRU,2019_YR
121,231,1,0,459,2393.0,TRU,2019_YR
121,232,1,0,2319,2733.0,TRU,2019_YR
121,241,1,0,14,,TRU,2019_YR
121,261,1,0,469,3745.0,TRU,2019_YR
121,271,1,0,95,3851.0,TRU,2019_YR
121,281,1,0,727,3926.0,TRU,2019_YR
121,291,1,0,168,2912.0,TRU,2019_YR
121,292,1,0,799,2974.0,TRU,2019_YR
121,301,1,0,2159,3620.0,TRU,2019_YR
121,302,1,0,1417,3436.0,TRU,2019_YR
121,31,1,0,2130,2092.0,TRU,2019_YR
121,311,1,0,1097,4106.0,TRU,2019_YR
121,312,1,0,471,3497.0,TRU,2019_YR
121,313,1,0,826,3260.0,TRU,2019_YR
121,32,1,0,529,2217.0,TRU,2019_YR
121,321,1,0,139,3248.0,TRU,2019_YR
121,331,1,0,341,3157.0,TRU,2019_YR
121,332,1,0,39,3696.0,TRU,2019_YR
121,333,1,0,44,3156.0,TRU,2019_YR
121,334,1,0,373,3097.0,TRU,2019_YR
121,335,1,0,7,,TRU,2019_YR
121,336,1,0,33,3234.0,TRU,2019_YR
121,337,1,0,2,,TRU,2019_YR
121,338,1,0,16,3813.0,TRU,2019_YR
121,339,1,0,5,,TRU,2019_YR
121,341,1,0,362,3416.0,TRU,2019_YR
121,351,1,0,56,3372.0,TRU,2019_YR
121,352,1,0,41,3613.0,TRU,2019_YR
121,361,1,0,1,,TRU,2019_YR
121,381,1,0,6,,TRU,2019_YR
121,391,1,0,41,4519.0,TRU,2019_YR
121,401,1,0,192,4975.0,TRU,2019_YR
121,41,1,0,1263,1584.0,TRU,2019_YR
121,411,1,0,104,4496.0,TRU,2019_YR
121,412,1,0,316,3889.0,TRU,2019_YR
121,421,1,0,59,4289.0,TRU,2019_YR
121,422,1,0,103,3674.0,TRU,2019_YR
121,423,1,0,83,4848.0,TRU,2019_YR
121,431,1,0,81,4407.0,TRU,2019_YR
121,432,1,0,20,,TRU,2019_YR
121,433,1,0,156,4095.0,TRU,2019_YR
121,434,1,0,37,4703.0,TRU,2019_YR
121,441,1,0,124,3832.0,TRU,2019_YR
121,442,1,0,48,3854.0,TRU,2019_YR
121,451,1,0,86,3758.0,TRU,2019_YR
121,452,1,0,12,,TRU,2019_YR
121,461,1,0,78,4275.0,TRU,2019_YR
121,471,1,0,4,,TRU,2019_YR
121,481,1,0,38,5214.0,TRU,2019_YR
121,491,1,0,7,,TRU,2019_YR
121,51,1,0,41,2483.0,TRU,2019_YR
121,511,1,0,53,7094.0,TRU,2019_YR
121,512,1,0,4,,TRU,2019_YR
121,522,1,0,10,,TRU,2019_YR
121,523,1,0,3,,TRU,2019_YR
121,531,1,0,147,4898.0,TRU,2019_YR
121,532,1,0,4,,TRU,2019_YR
121,541,1,0,34,4422.0,TRU,2019_YR
121,542,1,0,71,4566.0,TRU,2019_YR
121,551,1,0,20,,TRU,2019_YR
121,561,1,0,42,4995.0,TRU,2019_YR
121,562,1,0,73,5073.0,TRU,2019_YR
121,571,1,0,129,5601.0,TRU,2019_YR
121,572,1,0,56,5295.0,TRU,2019_YR
121,581,1,0,70,5298.0,TRU,2019_YR
121,583,1,0,116,5460.0,TRU,2019_YR
121,584,1,0,150,5438.0,TRU,2019_YR
121,585,1,0,25,,TRU,2019_YR
121,591,1,0,100,5930.0,TRU,2019_YR
121,592,1,0,1,,TRU,2019_YR
121,593,1,0,14,,TRU,2019_YR
121,594,1,0,5,,TRU,2019_YR
121,601,1,0,709,6080.0,TRU,2019_YR
121,602,1,0,503,6133.0,TRU,2019_YR
121,603,1,0,159,6468.0,TRU,2019_YR
121,61,1,0,16,,TRU,2019_YR
121,611,1,0,31,6381.0,TRU,2019_YR
121,612,1,0,22,5925.0,TRU,2019_YR
121,62,1,0,42,1945.0,TRU,2019_YR
121,621,1,0,99,6639.0,TRU,2019_YR
121,631,1,0,1,,TRU,2019_YR
121,681,1,0,1,,TRU,2019_YR
121,81,1,0,1187,2388.0,TRU,2019_YR
121,91,1,0,4295,1163.0,TRU,2019_YR
122,101,1,0,654,997.0,TRU,2019_YR
122,102,1,0,575,802.0,TRU,2019_YR
122,11,1,0,4,,TRU,2019_YR
122,111,1,0,1037,1069.0,TRU,2019_YR
122,112,1,0,70,1500.0,TRU,2019_YR
122,121,1,0,1355,694.0,TRU,2019_YR
122,122,1,0,1554,500.0,TRU,2019_YR
