OID,DID,day_type,day_part,odvolume,odtime,mode,date_range
101,101,1,0,18682,692.0,TRU,2019_YR
101,102,1,0,2399,734.0,TRU,2019_YR
101,11,1,0,187,1968.0,TRU,2019_YR
101,111,1,0,3520,1220.0,TRU,2019_YR
101,112,1,0,257,1582.0,TRU,2019_YR
101,121,1,0,8743,1212.0,TRU,2019_YR
101,122,1,0,617,956.0,TRU,2019_YR
101,131,1,0,957,1533.0,TRU,2019_YR
101,132,1,0,308,1679.0,TRU,2019_YR
101,133,1,0,104,1505.0,TRU,2019_YR
101,141,1,0,7,,TRU,2019_YR
101,161,1,0,9,,TRU,2019_YR
101,181,1,0,1451,2015.0,TRU,2019_YR
101,182,1,0,203,2134.0,TRU,2019_YR
101,191,1,0,165,1727.0,TRU,2019_YR
101,192,1,0,39,1945.0,TRU,2019_YR
101,201,1,0,90,2157.0,TRU,2019_YR
101,202,1,0,1823,2166.0,TRU,2019_YR
101,21,1,0,140,1408.0,TRU,2019_YR
101,211,1,0,275,1845.0,TRU,2019_YR
101,212,1,0,180,2179.0,TRU,2019_YR
101,221,1,0,229,2351.0,TRU,2019_YR
101,222,1,0,334,2721.0,TRU,2019_YR
101,231,1,0,254,2810.0,TRU,2019_YR
101,232,1,0,1594,3108.0,TRU,2019_YR
101,241,1,0,7,,TRU,2019_YR
101,261,1,0,561,3954.0,TRU,2019_YR
101,271,1,0,38,4093.0,TRU,2019_YR
101,281,1,0,313,4300.0,TRU,2019_YR
101,291,1,0,274,3145.0,TRU,2019_YR
101,292,1,0,903,3401.0,TRU,2019_YR
101,301,1,0,3461,4022.0,TRU,2019_YR
101,302,1,0,1683,3823.0,TRU,2019_YR
101,31,1,0,3125,1945.0,TRU,2019_YR
101,311,1,0,3504,4721.0,TRU,2019_YR
101,312,1,0,400,3731.0,TRU,2019_YR
101,313,1,0,992,3756.0,TRU,2019_YR
101,314,1,0,1,,TRU,2019_YR
101,32,1,0,396,1769.0,TRU,2019_YR
101,321,1,0,84,3537.0,TRU,2019_YR
101,331,1,0,499,3537.0,TRU,2019_YR
101,332,1,0,18,3546.0,TRU,2019_YR
101,333,1,0,18,,TRU,2019_YR
101,334,1,0,226,3103.0,TRU,2019_YR
101,335,1,0,11,,TRU,2019_YR
