Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Travel Time (sec)
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),31,2095,52,2084,1531
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),1:  Early AM (12am-6am) (12am-6am),0,105,1,94,1874
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),2:  Peak AM (6am-9am) (6am-9am),3,245,5,222,2149
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),18,897,27,884,1413
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),5,445,9,457,1468
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),5,402,11,426,1681
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),26,1934,50,1915,1045
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),2:  Peak AM (6am-9am) (6am-9am),3,246,4,218,2175
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),3:  Mid-Day (9am-3pm) (9am-3pm),14,739,23,741,779
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),3,429,7,433,1179
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),5:  Late PM (6pm-12am) (6pm-12am),6,399,16,423,986
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),38,2446,61,2471,2123
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),1:  Early AM (12am-6am) (12am-6am),1,90,3,86,1874
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),2:  Peak AM (6am-9am) (6am-9am),2,232,6,219,3058
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),26,1263,38,1256,1953
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),6,485,10,526,1750
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),5:  Late PM (6pm-12am) (6pm-12am),3,377,4,385,3747
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4,2095,52,1783,2504
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),1:  Early AM (12am-6am) (12am-6am),1,105,1,26,867
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),2:  Peak AM (6am-9am) (6am-9am),1,245,5,271,2757
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),2,897,27,700,1998
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,445,9,409,3892
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),3,1934,50,1779,3261
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),2:  Peak AM (6am-9am) (6am-9am),1,246,4,354,865
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),3:  Mid-Day (9am-3pm) (9am-3pm),1,739,23,583,783
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),2,429,7,422,4885
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),7,2446,61,1796,1986
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),1:  Early AM (12am-6am) (12am-6am),2,90,3,39,867
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),2:  Peak AM (6am-9am) (6am-9am),1,232,6,72,2321
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),4,1263,38,964,2462
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,91,091,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),0,2095,52,1124,1389
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,91,091,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),0,445,9,223,1389
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,91,091,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),1,1934,50,1312,1389
Bicycle - StL Bicycle Index,101,101,no,N/A,no,34,Pleasant View Dr,N/A,no,91,091,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),1,429,7,255,1389
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2,2095,119,2084,5811
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,897,55,884,5706
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),1,402,27,426,6074
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),2,1934,86,1915,6616
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),3:  Mid-Day (9am-3pm) (9am-3pm),1,739,34,741,5138
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),5:  Late PM (6pm-12am) (6pm-12am),1,399,24,423,8094
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),4,2446,158,2471,5773
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),3,1263,85,1256,6346
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),5:  Late PM (6pm-12am) (6pm-12am),1,377,31,385,4055
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),0,2095,119,5335,4706
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),0,897,55,2072,4706
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),1,2446,158,6398,4706
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,1263,85,2726,4706
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2,2095,119,2059,2536
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,897,55,705,2336
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,445,24,506,2836
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),2,1934,86,2012,1332
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),3:  Mid-Day (9am-3pm) (9am-3pm),1,739,34,555,1415
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),1,429,14,530,1250
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),1,2446,158,2062,3457
Bicycle - StL Bicycle Index,101,101,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,1263,85,969,3457
Bicycle - StL Bicycle Index,101,101,no,N/A,no,36,Roy DNRG,N/A,no,181,181,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),0,2095,121,5280,3716
Bicycle - StL Bicycle Index,101,101,no,N/A,no,36,Roy DNRG,N/A,no,181,181,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),0,445,26,1407,3716
Bicycle - StL Bicycle Index,101,101,no,N/A,no,36,Roy DNRG,N/A,no,181,181,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),1,1934,105,5598,3716
Bicycle - StL Bicycle Index,101,101,no,N/A,no,36,Roy DNRG,N/A,no,181,181,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),1,429,24,1653,3716
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),10,1817,52,2084,2161
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),2:  Peak AM (6am-9am) (6am-9am),0,297,5,222,624
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),5,752,27,884,2256
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),2,395,9,457,2444
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),3,341,11,426,1933
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),13,1811,50,1915,2480
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),3:  Mid-Day (9am-3pm) (9am-3pm),8,644,23,741,2936
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),2,401,7,433,1681
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),5:  Late PM (6pm-12am) (6pm-12am),4,354,16,423,2169
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),12,1875,61,2471,2042
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),2:  Peak AM (6am-9am) (6am-9am),1,108,6,219,624
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),5,1036,38,1256,668
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),4,391,10,526,3668
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,101,101,no,N/A,no,2:  Weekend_SaSu (Sa-Su),5:  Late PM (6pm-12am) (6pm-12am),1,303,4,385,2705
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1,1817,52,1783,2677
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,395,9,409,2677
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),1,1875,61,1796,3566
Bicycle - StL Bicycle Index,102,102,no,N/A,no,34,Pleasant View Dr,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,391,10,391,3566
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1,1817,119,1783,6634
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,752,55,700,7158
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,102,102,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),0,395,24,409,5586
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),3,1875,158,1796,6634
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),2,1036,85,964,7158
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,102,102,no,N/A,no,2:  Weekend_SaSu (Sa-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,391,26,391,5586
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2,1817,119,5335,2556
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,0: All Days (M-Su),2:  Peak AM (6am-9am) (6am-9am),1,297,13,311,1350
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,752,55,2072,2792
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),0,341,27,1327,4262
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),2,1811,86,4536,2855
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),2:  Peak AM (6am-9am) (6am-9am),1,378,13,341,1448
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),5:  Late PM (6pm-12am) (6pm-12am),1,354,24,1007,4262
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),3,1875,158,6398,2810
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,2:  Weekend_SaSu (Sa-Su),2:  Peak AM (6am-9am) (6am-9am),1,108,16,231,1253
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,121,121,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),2,1036,85,2726,3589
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1,1817,119,2059,5575
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,395,24,506,4605
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),0,341,27,534,7514
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),1,1811,86,2012,482
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),4:  Peak PM (3pm-6pm) (3pm-6pm),1,401,14,530,482
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),1,1875,158,2062,7514
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,2:  Weekend_SaSu (Sa-Su),5:  Late PM (6pm-12am) (6pm-12am),1,303,31,467,7514
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,132,132,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),0,1817,119,1190,5567
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,132,132,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),0,752,55,462,5567
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,132,132,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),1,1811,86,1255,5567
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,132,132,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),3:  Mid-Day (9am-3pm) (9am-3pm),1,644,34,460,5567
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2,1817,119,2727,2215
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,0: All Days (M-Su),2:  Peak AM (6am-9am) (6am-9am),1,297,13,193,1350
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,752,55,920,2792
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),1,1811,86,2343,1448
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),2:  Peak AM (6am-9am) (6am-9am),1,378,13,220,1448
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),3,1875,158,3323,2810
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,2:  Weekend_SaSu (Sa-Su),2:  Peak AM (6am-9am) (6am-9am),1,108,16,143,1253
Bicycle - StL Bicycle Index,102,102,no,N/A,no,35,Ogden River Parkway,N/A,no,2010,Ogden Downtown,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),2,1036,85,1191,3589
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,111,111,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1,3720,119,3697,5150
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,111,111,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),0,1546,55,1519,5570
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,111,111,no,N/A,no,0: All Days (M-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),0,794,24,820,7904
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,111,111,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),1,746,27,788,3564
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,111,111,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),2,3423,158,3375,6737
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,111,111,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,1772,85,1750,5570
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,111,111,no,N/A,no,2:  Weekend_SaSu (Sa-Su),4:  Peak PM (3pm-6pm) (3pm-6pm),1,701,26,727,7904
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1,3720,119,2059,3244
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,1546,55,705,2984
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,0: All Days (M-Su),5:  Late PM (6pm-12am) (6pm-12am),1,746,27,534,3418
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),0: All Day (12am-12am),1,3782,86,2012,3791
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,1:  Weekday_TuWeTh (Tu-Th),5:  Late PM (6pm-12am) (6pm-12am),1,794,24,554,3791
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,2:  Weekend_SaSu (Sa-Su),0: All Day (12am-12am),1,3423,158,2062,4019
Bicycle - StL Bicycle Index,111,111,no,N/A,no,35,Ogden River Parkway,N/A,no,122,122,no,N/A,no,2:  Weekend_SaSu (Sa-Su),3:  Mid-Day (9am-3pm) (9am-3pm),1,1772,85,969,4019
Bicycle - StL Bicycle Index,111,111,no,N/A,no,36,Roy DNRG,N/A,no,111,111,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),73,3720,121,3697,2740
